State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election",Citizen voting-age population estimate,Citizen voting-age population Margin of Error,Voting rate estimate,Voting rate Margin of Error
AL,Alabama,1,242617,544464,3424,44.6,0.3
AL,Alabama,2,226230,516295,5674,43.8,0.5
AL,Alabama,3,231915,543854,4099,42.6,0.3
AL,Alabama,4,230969,515701,4678,44.8,0.4
AL,Alabama,5,260673,551968,2121,47.2,0.2
AL,Alabama,6,278328,535753,7635,52,0.7
AL,Alabama,7,189163,504177,9052,37.5,0.7
AK,Alaska,At-large,282166,532244,2539,53,0.3
AZ,Arizona,1,266089,568661,9203,46.8,0.8
AZ,Arizona,2,294152,550044,9439,53.5,0.9
AZ,Arizona,3,179518,500787,12277,35.8,0.9
AZ,Arizona,4,277035,633528,10386,43.7,0.7
AZ,Arizona,5,313064,587681,10348,53.3,0.9
AZ,Arizona,6,313699,577899,11084,54.3,1
AZ,Arizona,7,132051,454957,12175,29,0.8
AZ,Arizona,8,304417,599423,9645,50.8,0.8
AZ,Arizona,9,261245,562791,12216,46.4,1
AR,Arkansas,1,201245,548710,3198,36.7,0.2
AR,Arkansas,2,253453,570220,3398,44.4,0.3
AR,Arkansas,3,229568,573113,5357,40.1,0.4
AR,Arkansas,4,204892,532069,4667,38.5,0.3
CA,California,1,291594,553702,4675,52.7,0.4
CA,California,2,315657,534951,6691,59,0.7
CA,California,3,232251,504299,7222,46.1,0.7
CA,California,4,340654,573118,5649,59.4,0.6
CA,California,5,261018,508369,9829,51.3,1
CA,California,6,201939,506434,10206,39.9,0.8
CA,California,7,281617,537436,8063,52.4,0.8
CA,California,8,170785,477512,10385,35.8,0.8
CA,California,9,200763,482967,8819,41.6,0.8
CA,California,10,221900,493409,7043,45,0.6
CA,California,11,275681,508963,9040,54.2,1
CA,California,12,317072,571300,7542,55.5,0.7
CA,California,13,294837,536892,6882,54.9,0.7
CA,California,14,266823,511049,8400,52.2,0.9
CA,California,15,243929,503361,8070,48.5,0.8
CA,California,16,142959,423147,10984,33.8,0.9
CA,California,17,211162,438374,13412,48.2,1.5
CA,California,18,302238,491580,9611,61.5,1.2
CA,California,19,220319,482363,9857,45.7,0.9
CA,California,20,225721,434889,8953,51.9,1.1
CA,California,21,113616,354669,11267,32,1
CA,California,22,222379,483064,10845,46,1
CA,California,23,205774,490446,10566,42,0.9
CA,California,24,284431,508333,5576,56,0.6
CA,California,25,245022,482964,10876,50.7,1.1
CA,California,26,255426,480928,6034,53.1,0.7
CA,California,27,202636,471963,11108,42.9,1
CA,California,28,250934,502971,13353,49.9,1.3
CA,California,29,154692,402898,11545,38.4,1.1
CA,California,30,260993,529846,14610,49.3,1.4
CA,California,31,187495,482081,9659,38.9,0.8
CA,California,32,177031,449452,11398,39.4,1
CA,California,33,312860,517251,10427,60.5,1.2
CA,California,34,151906,425520,11922,35.7,1
CA,California,35,149024,450565,12666,33.1,0.9
CA,California,36,207008,536333,9648,38.6,0.7
CA,California,37,236378,468463,13452,50.5,1.4
CA,California,38,202156,481296,10991,42,1
CA,California,39,244393,486713,10190,50.2,1.1
CA,California,40,121449,340435,9624,35.7,1
CA,California,41,166248,478613,8532,34.7,0.6
CA,California,42,231932,538265,9226,43.1,0.7
CA,California,43,196052,454185,11440,43.2,1.1
CA,California,44,143322,395819,8661,36.2,0.8
CA,California,45,305289,532802,12285,57.3,1.3
CA,California,46,147916,408633,10145,36.2,0.9
CA,California,47,221036,491712,10923,45,1
CA,California,48,294736,529832,8764,55.6,0.9
CA,California,49,295030,519302,10212,56.8,1.1
CA,California,50,259810,513522,11367,50.6,1.1
CA,California,51,153828,445034,11226,34.6,0.9
CA,California,52,296007,546843,12471,54.1,1.2
CA,California,53,268794,563962,15636,47.7,1.3
CO,Colorado,1,369715,619349,5507,59.7,0.5
CO,Colorado,2,430765,619285,6451,69.6,0.7
CO,Colorado,3,336201,565901,5796,59.4,0.6
CO,Colorado,4,369621,598599,5986,61.7,0.6
CO,Colorado,5,322716,603967,3639,53.4,0.3
CO,Colorado,6,346822,567801,9080,61.1,1
CO,Colorado,7,338067,576138,8222,58.7,0.8
CT,Connecticut,1,274140,523004,7034,52.4,0.7
CT,Connecticut,2,289114,548572,5593,52.7,0.5
CT,Connecticut,3,270239,535024,7312,50.5,0.7
CT,Connecticut,4,275651,496370,6476,55.5,0.7
CT,Connecticut,5,270664,511395,9390,52.9,1
DE,Delaware,At-large,353814,720867,3971,49.1,0.3
DC,District of Columbia,At-large,228769,526393,4612,43.5,0.4
FL,Florida,1,322388,601423,2752,53.6,0.2
FL,Florida,2,295568,573718,6050,51.5,0.5
FL,Florida,3,306496,579993,6726,52.8,0.6
FL,Florida,4,381249,614794,10052,62,1
FL,Florida,5,270326,541992,11225,49.9,1
FL,Florida,6,333649,621566,6917,53.7,0.6
FL,Florida,7,317398,581583,10621,54.6,1
FL,Florida,8,360527,610604,4145,59,0.4
FL,Florida,9,296737,644898,15477,46,1.1
FL,Florida,10,NA,546157,12769,NA,NA
FL,Florida,11,367506,652135,10786,56.4,0.9
FL,Florida,12,334918,605983,7435,55.3,0.7
FL,Florida,13,316971,584889,8338,54.2,0.8
FL,Florida,14,NA,534225,9792,NA,NA
FL,Florida,15,285532,578715,14070,49.3,1.2
FL,Florida,16,361946,638769,8875,56.7,0.8
FL,Florida,17,310520,615104,10351,50.5,0.8
FL,Florida,18,342359,599873,10324,57.1,1
FL,Florida,19,339607,631233,11072,53.8,0.9
FL,Florida,20,202824,507613,13423,40,1.1
FL,Florida,21,NA,546101,11927,NA,NA
FL,Florida,22,297683,534846,11346,55.7,1.2
FL,Florida,23,276366,510212,9952,54.2,1.1
FL,Florida,24,NA,477697,12311,NA,NA
FL,Florida,25,212845,453055,14226,47,1.5
FL,Florida,26,235475,476033,12380,49.5,1.3
FL,Florida,27,252586,464604,13439,54.4,1.6
GA,Georgia,1,250683,550713,4548,45.5,0.4
GA,Georgia,2,229171,498322,5387,46,0.5
GA,Georgia,3,293006,548941,6659,53.4,0.6
GA,Georgia,4,288809,527938,10870,54.7,1.1
GA,Georgia,5,275406,587385,11293,46.9,0.9
GA,Georgia,6,317032,496468,9646,63.9,1.2
GA,Georgia,7,280441,486845,13303,57.6,1.6
GA,Georgia,8,198716,527338,5981,37.7,0.4
GA,Georgia,9,282578,556967,6033,50.7,0.5
GA,Georgia,10,302735,565803,9414,53.5,0.9
GA,Georgia,11,310540,559687,9450,55.5,0.9
GA,Georgia,12,250492,540482,5219,46.3,0.4
GA,Georgia,13,293010,523476,12223,56,1.3
GA,Georgia,14,229724,516434,4331,44.5,0.4
HI,Hawaii,1,191667,509992,8672,37.6,0.6
HI,Hawaii,2,206990,506514,7345,40.9,0.6
ID,Idaho,1,315069,661724,6207,47.6,0.4
ID,Idaho,2,280655,590690,6236,47.5,0.5
IL,Illinois,1,257885,524114,13385,49.2,1.3
IL,Illinois,2,235251,497132,10186,47.3,1
IL,Illinois,3,223334,479004,11273,46.6,1.1
IL,Illinois,4,166189,410804,10402,40.5,1
IL,Illinois,5,279131,545831,13594,51.1,1.3
IL,Illinois,6,315446,523796,7397,60.2,0.9
IL,Illinois,7,246243,522767,13446,47.1,1.2
IL,Illinois,8,197127,442009,9089,44.6,0.9
IL,Illinois,9,290351,498242,10167,58.3,1.2
IL,Illinois,10,238664,468255,7926,51,0.9
IL,Illinois,11,227765,472244,8696,48.2,0.9
IL,Illinois,12,261543,528398,3128,49.5,0.3
IL,Illinois,13,270981,539012,6187,50.3,0.6
IL,Illinois,14,297199,525729,7412,56.5,0.8
IL,Illinois,15,255608,532371,4362,48,0.4
IL,Illinois,16,255825,520730,4681,49.1,0.4
IL,Illinois,17,229749,512994,5263,44.8,0.5
IL,Illinois,18,291413,531334,6741,54.8,0.7
IN,Indiana,1,245209,537218,2969,45.6,0.3
IN,Indiana,2,228889,522778,3982,43.8,0.3
IN,Indiana,3,245537,540022,2746,45.5,0.2
IN,Indiana,4,244363,567094,4245,43.1,0.3
IN,Indiana,5,317177,573500,6937,55.3,0.7
IN,Indiana,6,241726,549035,2722,44,0.2
