State abbreviation,State name,Congressional district,Citizen voting-age population estimate,Citizen voting-age population MOE,Ages 18-29 estimate,Ages 18-29 MOE,Ages 18-29 percent estimate,Ages 18-29 percent MOE,Ages 30-44 estimate,Ages 30-44 MOE,Ages 30-44 percent estimate,Ages 30-44 percent MOE,Ages 45-64 estimate,Ages 45-64 MOE,Ages 45-64 percent estimate,Ages 45-64 percent MOE,Ages 65 up estimate,Ages 65 up MOE,Ages 65 up percent estimate,Ages 65 up percent MOE
AL,Alabama,1,544464,3424,104060,2412,19.1,0.4,125900,2538,23.1,0.5,188031,3186,34.5,0.5,126473,1797,23.2,0.3
AL,Alabama,2,516295,5674,109222,2918,21.2,0.5,118999,3146,23,0.5,173351,3069,33.6,0.5,114723,2059,22.2,0.4
AL,Alabama,3,543854,4099,121328,2379,22.3,0.4,121212,3483,22.3,0.6,182379,3899,33.5,0.7,118935,1851,21.9,0.3
AL,Alabama,4,515701,4678,95990,2777,18.6,0.5,114921,2560,22.3,0.5,177247,3022,34.4,0.5,127543,2309,24.7,0.4
AL,Alabama,5,551968,2121,109986,1624,19.9,0.3,129788,1913,23.5,0.3,193348,1995,35,0.4,118846,1412,21.5,0.3
AL,Alabama,6,535753,7635,101646,4222,19,0.7,133635,4599,24.9,0.8,182710,4171,34.1,0.6,117762,2727,22,0.5
AL,Alabama,7,504177,9052,126572,5253,25.1,0.8,114337,5109,22.7,1,162887,5505,32.3,0.9,100381,3261,19.9,0.7
AK,Alaska,At-large,532244,2539,127476,1829,24,0.3,144647,2629,27.2,0.5,174789,3032,32.8,0.5,85332,1468,16,0.3
AZ,Arizona,1,568661,9203,124100,4886,21.8,0.7,129362,4892,22.7,0.8,169734,4410,29.8,0.6,145465,4443,25.6,0.7
AZ,Arizona,2,550044,9439,116061,6026,21.1,0.9,114471,3938,20.8,0.7,166939,4774,30.4,0.7,152573,4037,27.7,0.8
AZ,Arizona,3,500787,12277,146929,7152,29.3,1.1,122468,6742,24.5,1.2,143475,5931,28.6,1,87915,5424,17.6,1.1
AZ,Arizona,4,633528,10386,95038,5092,15,0.7,118494,4302,18.7,0.6,201308,5612,31.8,0.7,218688,4390,34.5,0.7
AZ,Arizona,5,587681,10348,106103,6236,18.1,1,155762,5177,26.5,0.9,190794,6636,32.5,0.9,135022,5635,23,0.9
AZ,Arizona,6,577899,11084,104945,7109,18.2,1.1,124931,5792,21.6,0.9,202991,6785,35.1,0.9,145032,5372,25.1,0.9
AZ,Arizona,7,454957,12175,153294,8230,33.7,1.5,120219,6998,26.4,1.3,127158,5249,27.9,1,54286,3904,11.9,0.8
AZ,Arizona,8,599423,9645,100261,6074,16.7,0.9,131595,6104,22,1,189019,5970,31.5,0.9,178548,6383,29.8,1
AZ,Arizona,9,562791,12216,160510,7893,28.5,1.3,141929,7600,25.2,1.1,170213,5766,30.2,0.8,90139,4645,16,0.8
AR,Arkansas,1,548710,3198,106231,1874,19.4,0.3,128779,2847,23.5,0.5,183306,2815,33.4,0.5,130394,1660,23.8,0.3
AR,Arkansas,2,570220,3398,123752,2603,21.7,0.4,138990,1946,24.4,0.3,186961,2171,32.8,0.3,120517,1500,21.1,0.2
AR,Arkansas,3,573113,5357,134210,2608,23.4,0.4,143907,3362,25.1,0.5,179259,3721,31.3,0.5,115737,1859,20.2,0.3
AR,Arkansas,4,532069,4667,105713,2805,19.9,0.5,110275,2756,20.7,0.5,179824,3878,33.8,0.6,136257,1877,25.6,0.3
