State abbreviation,State name,Congressional district,Citizen voting-age population estimate,Citizen voting-age population MOE,Men estimate,Men MOE,Men percent total,Men percent MOE,Women estimate,Women MOE,Women percent total,Women percent MOE,Poverty universe,Poverty universe margin of error (MOE),Below poverty level estimate,Below poverty level MOE,Below poverty level percent total,Below poverty level percent MOE
AL,Alabama,1,544464,3424,256603,2312,47.1,0.3,287861,2175,52.9,0.3,532906,4244,76483,6772,14.4,1.3
AL,Alabama,2,516295,5674,243971,3467,47.3,0.4,272324,3369,52.7,0.4,498215,6078,75815,5500,15.2,1.1
AL,Alabama,3,543854,4099,261066,2813,48,0.3,282788,2387,52,0.3,526264,4581,88748,6737,16.9,1.3
AL,Alabama,4,515701,4678,248166,3029,48.1,0.3,267535,2859,51.9,0.3,509407,4836,70775,4705,13.9,0.9
AL,Alabama,5,551968,2121,267633,1788,48.5,0.2,284335,1610,51.5,0.2,537668,2826,61196,5668,11.4,1.1
AL,Alabama,6,535753,7635,255440,5227,47.7,0.5,280313,4313,52.3,0.5,524830,7733,48300,4906,9.2,1
AL,Alabama,7,504177,9052,230516,5232,45.7,0.6,273661,5749,54.3,0.6,481363,9041,103655,6623,21.5,1.4
AK,Alaska,At-large,532244,2539,279792,1890,52.6,0.3,252452,2008,47.4,0.3,519019,2513,51051,4246,9.8,0.8
AZ,Arizona,1,568661,9203,283123,6171,49.8,0.6,285538,4989,50.2,0.6,536962,8900,89883,5688,16.7,1
AZ,Arizona,2,550044,9439,267865,6098,48.7,0.6,282179,5352,51.3,0.6,533913,9463,62901,5465,11.8,0.9
AZ,Arizona,3,500787,12277,256566,8010,51.2,0.9,244221,7182,48.8,0.9,478150,12581,72311,5536,15.1,1.1
AZ,Arizona,4,633528,10386,318974,6574,50.3,0.5,314554,5561,49.7,0.5,610113,10165,68749,5492,11.3,0.9
AZ,Arizona,5,587681,10348,283913,7022,48.3,0.7,303768,6090,51.7,0.7,586067,10340,37227,3805,6.4,0.7
AZ,Arizona,6,577899,11084,279903,8198,48.4,0.9,297996,7108,51.6,0.9,576110,11153,44701,4473,7.8,0.8
AZ,Arizona,7,454957,12175,226970,6665,49.9,0.9,227987,8151,50.1,0.9,447394,11913,67279,4979,15,1.1
AZ,Arizona,8,599423,9645,281157,6225,46.9,0.7,318266,6284,53.1,0.7,589749,9795,38999,4187,6.6,0.7
AZ,Arizona,9,562791,12216,280089,8148,49.8,0.9,282702,7499,50.2,0.9,552135,12608,60388,4974,10.9,0.9
AR,Arkansas,1,548710,3198,270423,2348,49.3,0.3,278287,1897,50.7,0.3,522923,3506,89589,5251,17.1,1
AR,Arkansas,2,570220,3398,271053,2181,47.5,0.3,299167,2511,52.5,0.3,555802,3856,75688,5860,13.6,1.1
AR,Arkansas,3,573113,5357,277923,3639,48.5,0.4,295190,3363,51.5,0.4,557687,5401,67436,5680,12.1,1
AR,Arkansas,4,532069,4667,255252,2971,48,0.3,276817,2607,52,0.3,514124,4920,86232,6853,16.8,1.3
CA,California,1,553702,4675,276469,2969,49.9,0.3,277233,3061,50.1,0.3,534889,5042,77504,4840,14.5,0.9
CA,California,2,534951,6691,262941,4598,49.2,0.5,272010,3923,50.8,0.5,522186,7371,53649,3970,10.3,0.8
CA,California,3,504299,7222,246961,4640,49,0.7,257338,5113,51,0.7,489655,7602,65293,4484,13.3,0.9
CA,California,4,573118,5649,286496,3641,50,0.4,286622,3758,50,0.4,562791,6131,44632,5194,7.9,0.9
CA,California,5,508369,9829,242276,6539,47.7,0.7,266093,5746,52.3,0.7,501445,9889,41040,4182,8.2,0.8
CA,California,6,506434,10206,244392,6051,48.3,0.7,262042,6527,51.7,0.7,499803,9972,64734,4900,13,1
CA,California,7,537436,8063,259003,5089,48.2,0.6,278433,4941,51.8,0.6,530517,8122,50715,4413,9.6,0.8
CA,California,8,477512,10385,240107,6199,50.3,0.9,237405,7155,49.7,0.9,465044,10343,68015,6501,14.6,1.4
CA,California,9,482967,8819,234940,5691,48.6,0.7,248027,5620,51.4,0.7,473224,8657,50332,4964,10.6,1.1
CA,California,10,493409,7043,242938,4435,49.2,0.5,250471,4053,50.8,0.5,488503,7105,51924,5671,10.6,1.2
CA,California,11,508963,9040,245241,5449,48.2,0.7,263722,5808,51.8,0.7,503806,9122,35217,3654,7,0.7
CA,California,12,571300,7542,292211,5544,51.1,0.6,279089,4327,48.9,0.6,563530,7499,54323,4915,9.6,0.9
CA,California,13,536892,6882,253135,4547,47.1,0.6,283757,4957,52.9,0.6,523587,7174,59812,4745,11.4,0.9
CA,California,14,511049,8400,249886,6515,48.9,0.7,261163,4555,51.1,0.7,505623,8493,30509,2863,6,0.5
CA,California,15,503361,8070,248705,4834,49.4,0.6,254656,5383,50.6,0.6,498277,8069,24930,3251,5,0.6
CA,California,16,423147,10984,210027,6857,49.6,0.7,213120,5711,50.4,0.7,406162,11155,81954,6426,20.2,1.4
CA,California,17,438374,13412,224282,8081,51.2,1,214092,7881,48.8,1,430314,13028,28312,4135,6.6,0.9
CA,California,18,491580,9611,239626,5593,48.7,0.6,251954,5864,51.3,0.6,480245,9471,28612,3592,6,0.8
CA,California,19,482363,9857,238475,6612,49.4,0.7,243888,5424,50.6,0.7,477211,9705,36308,3811,7.6,0.8
CA,California,20,434889,8953,216679,5540,49.8,0.7,218210,5052,50.2,0.7,411682,9452,38475,4501,9.3,1
CA,California,21,354669,11267,190018,7101,53.6,1.2,164651,6814,46.4,1.2,323856,10657,57483,5123,17.7,1.6
CA,California,22,483064,10845,228078,6372,47.2,0.6,254986,5888,52.8,0.6,478408,10916,58757,6468,12.3,1.3
CA,California,23,490446,10566,247112,7052,50.4,0.8,243334,5849,49.6,0.8,477323,10724,75310,5611,15.8,1.1
CA,California,24,508333,5576,253408,3820,49.9,0.5,254925,3671,50.1,0.5,478763,6420,60133,5044,12.6,1.1
CA,California,25,482964,10876,235314,5360,48.7,0.8,247650,7866,51.3,0.8,475581,11020,48804,5230,10.3,1.1
CA,California,26,480928,6034,235049,3891,48.9,0.5,245879,3934,51.1,0.5,471915,6282,33106,3570,7,0.7
CA,California,27,471963,11108,224505,6671,47.6,0.8,247458,6853,52.4,0.8,463381,11037,41601,4207,9,0.9
CA,California,28,502971,13353,246827,6961,49.1,1,256144,9403,50.9,1,499140,13270,53429,4396,10.7,0.9
CA,California,29,402898,11545,196524,6940,48.8,1,206374,7295,51.2,1,399807,11758,45157,4691,11.3,1.1
CA,California,30,529846,14610,256236,8348,48.4,0.8,273610,8293,51.6,0.8,523743,14740,43908,5126,8.4,0.9
CA,California,31,482081,9659,230379,6084,47.8,0.9,251702,6755,52.2,0.9,464860,11220,51108,5086,11,1.1
CA,California,32,449452,11398,213040,6823,47.4,0.8,236412,6640,52.6,0.8,441456,11301,38130,3906,8.6,0.9
CA,California,33,517251,10427,251819,6843,48.7,0.8,265432,6356,51.3,0.8,500426,10347,37349,3632,7.5,0.7
CA,California,34,425520,11922,215755,8468,50.7,1.1,209765,6391,49.3,1.1,408807,11387,70687,5958,17.3,1.4
CA,California,35,450565,12666,220837,7786,49,1,229728,7626,51,1,440052,12527,41460,4566,9.4,1
CA,California,36,536333,9648,262414,7174,48.9,0.8,273919,5977,51.1,0.8,528270,9520,68097,6020,12.9,1.1
CA,California,37,468463,13452,223584,8506,47.7,1,244879,7863,52.3,1,459415,13286,61771,5043,13.4,1
CA,California,38,481296,10991,233542,7350,48.5,0.9,247754,6716,51.5,0.9,474994,10896,38012,5583,8,1.2
CA,California,39,486713,10190,233873,6762,48.1,0.9,252840,6377,51.9,0.9,482420,10057,32182,3372,6.7,0.7
CA,California,40,340435,9624,165988,6467,48.8,1.1,174447,5851,51.2,1.1,338726,9589,46300,4533,13.7,1.3
CA,California,41,478613,8532,237023,6912,49.5,0.9,241590,5435,50.5,0.9,463587,9887,51104,5222,11,1.1
