State abbreviation,State name,Congressional district,Citizen voting-age population estimate,Citizen voting-age population MOE,Less grade 9 estimate,Less grade 9 MOE,Less grade 9 percent total,Less grade 9 percent MOE,Grade 9-12 no diploma estimate,Grade 9-12 no diploma MOE,Grade 9-12 no diploma percent total,Grade 9-12 no diploma percent MOE,High school graduate estimate,High school graduate MOE,High school graduate percent total,High school graduate percent MOE,Some college no degree estimate,Some college no degree MOE,Some college no degree percent total,Some college no degree percent MOE,Associate degree estimate,Associate degree MOE,Associate degree percent total,Associate degree percent MOE,Bachelor degree estimate,Bachelor degree MOE,Bachelor degree percent total,Bachelor degree percent MOE,Graduate degree estimate,Graduate degree MOE,Graduate degree percent total,Graduate degree percent MOE,High school or more estimate,High school or more MOE,High school or more percent total,High school or more percent MOE,Bachelor degree or more estimate,Bachelor degree or more MOE,Bachelor degree or more percent total,Bachelor degree or more percent MOE
AL,Alabama,1,544464,3424,13409,1845,2.5,0.3,57234,4433,10.5,0.8,185503,6968,34.1,1.2,122236,6275,22.5,1.2,42603,3561,7.8,0.6,82971,5147,15.2,1,40508,3710,7.4,0.7,473821,5794,87,0.9,123479,5614,22.7,1.1
AL,Alabama,2,516295,5674,18295,2059,3.5,0.4,53192,3981,10.3,0.8,172427,6215,33.4,1.1,119350,5038,23.1,1,45677,3467,8.8,0.7,69082,4208,13.4,0.8,38272,2888,7.4,0.6,444808,6761,86.2,0.9,107354,5009,20.8,1
AL,Alabama,3,543854,4099,19578,2504,3.6,0.5,56833,4646,10.5,0.9,174209,6786,32,1.2,142705,6806,26.2,1.2,45713,4020,8.4,0.7,63916,4810,11.8,0.9,40900,3656,7.5,0.7,467443,6717,86,1,104816,6147,19.3,1.1
AL,Alabama,4,515701,4678,24346,2997,4.7,0.6,57850,3966,11.2,0.8,175806,6423,34.1,1.3,121739,5447,23.6,1,51436,3866,10,0.7,52697,3625,10.2,0.7,31827,2643,6.2,0.5,433505,6247,84.1,1,84524,4487,16.4,0.8
AL,Alabama,5,551968,2121,14908,2282,2.7,0.4,43805,4016,7.9,0.7,151609,5046,27.5,0.9,123272,5616,22.3,1,45097,3977,8.2,0.7,113417,5380,20.5,1,59860,4136,10.8,0.8,493255,5090,89.4,0.8,173277,6244,31.4,1.1
AL,Alabama,6,535753,7635,11300,2173,2.1,0.4,36957,3501,6.9,0.6,140443,6392,26.2,1.2,123459,5862,23,1.1,40976,4277,7.6,0.8,117006,5281,21.8,0.9,65612,4420,12.2,0.8,487496,7970,91,0.8,182618,7144,34.1,1.2
AL,Alabama,7,504177,9052,16616,1923,3.3,0.4,55234,5319,11,1,168045,8111,33.3,1.5,133839,6148,26.5,1.2,39302,4144,7.8,0.8,59601,4532,11.8,0.9,31540,3102,6.3,0.6,432327,9322,85.7,1,91141,5542,18.1,1.1
AK,Alaska,At-large,532244,2539,10640,1693,2,0.3,26444,2293,5,0.4,160451,4824,30.1,0.9,148709,5567,27.9,1,41699,2807,7.8,0.5,89107,4177,16.7,0.8,55194,3489,10.4,0.6,495160,3690,93,0.5,144301,5756,27.1,1.1
AZ,Arizona,1,568661,9203,21704,2404,3.8,0.4,52527,4493,9.2,0.7,157867,6018,27.8,1,160634,6511,28.2,1.1,47496,4015,8.4,0.7,76331,4507,13.4,0.8,52102,3687,9.2,0.6,494430,9136,86.9,0.9,128433,6095,22.6,1
AZ,Arizona,2,550044,9439,11867,2153,2.2,0.4,34149,3129,6.2,0.6,129115,5605,23.5,1,155015,5947,28.2,1,51429,4005,9.3,0.7,100306,4702,18.2,0.7,68163,3691,12.4,0.7,504028,8964,91.6,0.7,168469,5996,30.6,0.9
