State abbreviation,State name,Congressional district,Citizen voting-age population estimate,Citizen voting-age population MOE,White estimate,White MOE,White percent total,White percent MOE,Black estimate,Black MOE,Black percent total,Black percent MOE,Asian estimate,Asian MOE,Asian percent total,Asian percent MOE,American Indian and Alaska Native estimate,American Indian and Alaska Native MOE,American Indian and Alaska Native percent total,American Indian and Alaska Native percent MOE,Native Hawaiian and other Pacific Islander estimate,Native Hawaiian and other Pacific Islander MOE,Native Hawaiian and other Pacific Islander percent total,Native Hawaiian and other Pacific Islander percent MOE,Other estimate,Other MOE,Other percent total,Other percent MOE,Two or more estimate,Two or more MOE,Two or more percent total,Two or more percent MOE,Hispanic estimate,Hispanic MOE,Hispanic percent total,Hispanic percent MOE,White non-Hispanic estimate,White non-Hispanic MOE,White non-Hispanic percent total,White non-Hispanic percent MOE
AL,Alabama,1,544464,3424,379018,2294,69.6,0.4,144187,4134,26.5,0.7,6506,1048,1.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2884,1365,0.5,0.3,7325,3134,1.3,0.6,11678,1192,2.1,0.2,370443,1879,68,0.4
AL,Alabama,2,516295,5674,338162,2699,65.5,0.7,162707,5053,31.5,0.7,3817,1075,0.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1818,632,0.4,0.1,7705,3264,1.5,0.6,9755,1007,1.9,0.2,331192,2414,64.1,0.7
AL,Alabama,3,543854,4099,390539,3116,71.8,0.6,139026,3205,25.6,0.5,4028,1107,0.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2448,1432,0.5,0.3,6754,3166,1.2,0.6,12241,1773,2.3,0.3,381547,2690,70.2,0.5
AL,Alabama,4,515701,4678,459105,4697,89,0.5,39714,3332,7.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3529,1563,0.7,0.3,8327,3467,1.6,0.7,11700,1626,2.3,0.3,451856,4178,87.6,0.5
AL,Alabama,5,551968,2121,427462,1491,77.4,0.3,99160,1830,18,0.3,5209,1067,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,5852,1539,1.1,0.3,12317,3228,2.2,0.6,14670,1569,2.7,0.3,420181,722,76.1,0.3
AL,Alabama,6,535753,7635,431768,6275,80.6,1,82560,7411,15.4,1.4,7642,1708,1.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,5066,2061,0.9,0.4,9103,4182,1.7,0.8,12660,2542,2.4,0.5,423727,6006,79.1,1
AL,Alabama,7,504177,9052,180979,6035,35.9,0.9,313943,6849,62.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7621,1626,1.5,0.3,175060,5965,34.7,0.9
AK,Alaska,At-large,532244,2539,368438,2822,69.2,0.5,17519,1558,3.3,0.3,26468,2068,5,0.4,75676,4187,14.2,0.8,4320,1128,0.8,0.2,6980,1974,1.3,0.4,33181,3446,6.2,0.6,31790,1004,6,0.2,349058,1415,65.6,0.3
AZ,Arizona,1,568661,9203,388200,7933,68.3,0.9,16019,2753,2.8,0.5,6283,1272,1.1,0.2,124578,5839,21.9,1,NA,NA,NA,NA,16627,3857,2.9,0.7,17080,4240,3,0.7,107249,6519,18.9,1,309394,6464,54.4,0.9
AZ,Arizona,2,550044,9439,458052,7628,83.3,1,20701,2295,3.8,0.4,14034,2005,2.6,0.3,9940,3942,1.8,0.7,NA,NA,NA,NA,25168,3565,4.6,0.6,21864,3179,4,0.6,130624,6725,23.7,1,365443,6487,66.4,1.1
AZ,Arizona,3,500787,12277,357944,11584,71.5,1.6,28175,4435,5.6,0.9,9604,2217,1.9,0.4,26382,2701,5.3,0.5,NA,NA,NA,NA,59120,7236,11.8,1.4,18519,2913,3.7,0.6,267591,10421,53.4,1.3,174893,7175,34.9,1.3
AZ,Arizona,4,633528,10386,578190,9919,91.3,0.7,11176,2843,1.8,0.4,7942,1407,1.3,0.2,8582,2040,1.4,0.3,NA,NA,NA,NA,11112,2863,1.8,0.4,15000,2762,2.4,0.4,99681,6678,15.7,0.9,495800,7535,78.3,1
AZ,Arizona,5,587681,10348,507420,10915,86.3,0.9,22836,3672,3.9,0.6,22282,2918,3.8,0.5,7605,3282,1.3,0.6,NA,NA,NA,NA,13416,2764,2.3,0.5,13467,2050,2.3,0.3,79986,6029,13.6,1,445503,10611,75.8,1.3
AZ,Arizona,6,577899,11084,506970,11212,87.7,1.1,20018,4809,3.5,0.8,18222,3605,3.2,0.6,8632,3559,1.5,0.6,NA,NA,NA,NA,9807,1734,1.7,0.3,13635,2629,2.4,0.5,69238,6073,12,1,451867,10131,78.2,1.2
AZ,Arizona,7,454957,12175,317721,12475,69.8,1.8,52274,5567,11.5,1.2,10856,2638,2.4,0.6,18769,8034,4.1,1.8,NA,NA,NA,NA,37487,4187,8.2,0.9,18298,3217,4,0.7,231252,10553,50.8,1.8,141414,7526,31.1,1.5
AZ,Arizona,8,599423,9645,510303,9165,85.1,1.2,28428,5122,4.7,0.8,20387,3142,3.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,17439,3774,2.9,0.6,15934,3155,2.7,0.5,94705,7614,15.8,1.2,441353,10522,73.6,1.5
AZ,Arizona,9,562791,12216,442582,11308,78.6,1.4,36493,5063,6.5,0.9,21686,2817,3.9,0.5,18138,5325,3.2,0.9,NA,NA,NA,NA,21432,3286,3.8,0.6,19896,2553,3.5,0.4,108397,8554,19.3,1.4,365415,11758,64.9,1.8
AR,Arkansas,1,548710,3198,438139,2765,79.8,0.4,87917,4737,16,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4421,1674,0.8,0.3,16059,4206,2.9,0.8,11266,1807,2.1,0.3,431129,2365,78.6,0.4
AR,Arkansas,2,570220,3398,422355,2568,74.1,0.3,128263,4140,22.5,0.7,6177,1353,1.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,3314,1178,0.6,0.2,8778,4113,1.5,0.7,13186,2126,2.3,0.4,413714,1613,72.6,0.4
